Timestamp,AccX,AccY,AccZ
760873848,-1260,-2808,15680
760875764,-147,-3809,14622
760877688,-3921,-2033,16944
760879604,2246,-293,10488
760881500,-373,951,16120
760883404,-573,1137,11211
760885300,-1451,293,21278
760887196,-272,1032,15740
760889104,1435,2002,18798
760891016,4484,2554,14623
760892928,2901,1167,18558
760894820,-112,-632,18531
760896716,-33,-3531,15040
760898628,-1969,-4174,14396
760900556,1836,-1324,12595
760902468,-2210,150,14804
760904368,-1031,657,16069
760906268,408,1253,20349
760908164,653,1639,15500
760910048,-2454,-20,18648
760911948,1656,386,18071
760913856,-1295,1925,21334
760915764,3721,700,13252
760917668,2065,-1700,13217
760919576,877,-4171,11717
760921492,-2860,-3676,14091
760923408,-3166,-812,13701
760925328,-206,1488,15257
760927240,3067,2567,12842
760929132,285,2065,19443
760931028,-2817,949,17393
760932920,516,-466,12230
760934824,4208,1078,18875
760936740,2427,1639,14364
760938608,2,228,21440
760940480,820,-1388,15852
760942384,-869,-3777,16803
760944292,635,-3436,10373
760946208,-2067,-1469,17156
760948124,498,1330,16912
760950032,-2154,2536,18884
760951952,1112,2314,15848
760953832,18,1262,17199
760955716,185,-507,13808
760957604,-149,-843,17068
760959492,1436,-50,16503
760961376,377,499,21459
760963292,3672,-1708,12001
760965212,-1094,-3694,10780
760967132,-3560,-3536,17432
760969048,-1561,-885,16783
760970956,-719,2398,18020
760972872,2924,3099,13980
760974780,2157,2113,17915
760976668,-206,792,18080
760978560,-2827,-337,18051
760980460,2133,123,11382
760982324,760,20,19156
760984216,3348,-696,13795
760986132,-1360,-1958,16355
760988064,-1382,-1588,14291
760989972,197,-1675,12160
760991864,684,346,15736
760993764,-1906,1768,17197
760995672,-749,2513,17264
760997580,1298,2248,16343
760999492,1479,1109,14688
761001396,647,-1503,15984
761003304,-1979,-2251,19920
761005236,-2138,-2280,16000
761007156,-530,-1516,14455
761009060,867,-1451,15336
761010952,-317,-947,17249
761012856,-1581,-175,15228
761014768,-2156,176,19603
761016676,1939,2205,16224
761018584,557,2657,19027
761020488,1666,2088,15560
761022368,328,-98,18951
761024276,2380,-1152,15684
761026192,-952,-2015,19060
761028112,3012,-2016,15636
761030020,416,-1768,13877
761031920,455,-181,14639
761033816,-783,1151,13703
761035704,-748,977,16099
761037600,-216,1136,15381
761039508,-1679,1661,15365
761041416,-742,1976,21476
761043320,845,1083,15956
761045208,3046,10,17275
761047116,-1404,-2402,13411
761049032,-916,-3904,14576
761050964,-1795,-3911,14932
761052876,546,-1381,14820
761054780,3259,418,13579
761056680,3450,1480,15706
761058584,-1739,519,17843
761060476,-319,739,18236
761062364,-3032,700,14420
761064276,1929,1235,15179
761066168,-448,892,19253
761068072,1431,-1341,17111
761069992,-2445,-2513,18461
761071920,1171,-1975,14711
761073828,-120,-746,15453
761075724,1450,140,15376
761077612,715,1313,16271
761079508,-299,2497,14742
761081420,2340,2232,13497
761083324,392,1020,14867
761085220,-431,1149,20545
761087128,-2492,366,19003
761089032,205,-1253,17383
761090928,101,-2075,15572
761092828,341,-2659,15118
761094740,-2904,-3870,19771
761096668,1553,-2633,17195
761098564,425,-633,16864
761100468,4837,2168,13636
761102384,1156,2444,15320
761104292,-1090,1640,15635
761106192,-2142,-78,17328
761108100,-1091,-427,11387
761109996,217,-699,19059
761111884,-144,-646,18661
761113800,-1019,-1279,18472
761115732,-1847,-1253,15792
761117640,1500,-455,14706
761119532,-521,281,16479
761121416,-256,706,13884
761123320,1373,1935,14948
761125228,3334,3156,16900
761127144,1011,1474,15883
761129036,-539,-211,13028
761130940,-3129,-583,20540
761132852,546,-1386,18219
761134764,-1937,-1587,19891
761136692,2026,-2578,14663
761138604,137,-2055,18499
761140516,2029,-1543,17152
761142428,-1407,-435,18795
761144340,2252,969,10332
761146220,368,2524,13472
761148116,931,2723,14275
761150024,-2683,1515,15488
761151948,-466,-1702,18004
761153868,1380,-1680,13632
761155776,-42,-1960,14912
761157692,1184,-1484,12968
761159608,-1532,-542,16955
761161516,1118,541,13908
761163412,3334,471,13400
761165304,3806,542,15872
761167200,-2389,699,14655
761169104,-538,2848,16396
761171000,865,3097,14480
761172888,690,1228,14851
761174796,-3219,-2283,16897
761176724,-2741,-2783,18763
761178648,-4657,-2167,20892
761180564,2770,-982,19207
761182472,2451,-677,15123
761184376,3191,-283,14468
761186252,927,-553,17475
761188148,-1241,-493,14383
761190056,1426,887,13703
761191956,2159,2666,15659
761193856,-929,2743,16779
761195760,-2698,204,16043
761197660,-343,-2663,15772
761199576,-3198,-3413,15652
761201508,-2435,-2153,17244
761203424,-2411,-589,18246
761205336,2783,869,19386
761207240,1166,1696,14552
761209136,4225,527,13975
761211024,1495,29,13104
761212904,-155,819,16787
761214812,-3339,1141,17480
761216716,555,1672,13623
761218596,-551,-409,15147
761220508,-1115,-2765,15732
761222436,-3350,-4100,21833
761224372,-2080,-1596,19635
761226272,3070,41,16104
761228168,2966,1333,13603
761230076,2237,1293,15355
761231964,477,771,16804
761233860,1607,-223,15924
761235740,-508,-71,13576
761237632,1416,595,13970
761239524,-3367,953,19611
761241412,-1175,-71,15588
761243328,-3762,-2436,16355
761245252,-1384,-3453,17107
761247176,-1839,-1829,17496
761249080,2561,83,18351
761250968,16,2084,20900
761252876,4892,2582,14260
761254768,3825,821,15592
761256656,1416,-566,9756
761258552,-3345,-243,15820
761260448,-867,637,16583
761262344,1887,463,16327
761264232,-261,-635,14428
761266136,1030,-1932,17527
761268060,-4898,-3560,17132
761269972,-762,-2128,18484
761271868,-90,1380,16416
761273772,5711,2641,14660
761275660,74,1852,19468
761277556,378,1172,14077
761279432,644,-944,13487
761281324,-210,-906,12668
761283228,-357,-1093,14912
761285136,-2052,-590,17236
761287060,-3445,-1571,18075
761288972,890,-2260,14400
761290872,-177,-1807,19428
761292780,2393,-975,17340
761294680,1459,275,17704
761296584,2545,1925,15012
761298492,2411,2199,16289
761300404,2687,1709,13711
761302308,-3075,513,16470
761304228,-2618,-1152,13287
761306140,314,-1128,17529
761308052,-3353,-1839,20348
761309948,180,-228,13656
761311848,-1087,-522,17659
761313728,624,10,17392
761315624,-1325,-365,18448
761317548,1508,1664,15023
761319456,2457,1843,17095
761321360,3544,2329,15891
761323244,-581,941,18948
761325140,-854,-1034,11299
761327052,719,-2243,14699
761328964,-1299,-2307,16383
761330900,-2917,-2057,21132
761332816,-643,-1087,17012
761334716,1800,-36,17347
