Timestamp,AccX,AccY,AccZ,AccMagnitude,Z_score,Anomaly
850066372,3142,346,14892,15223.782184463886,-0.514949803401084,0
850068252,394,208,17507,17512.66824330319,0.4720659459487204,0
850070120,762,-58,11491,11516.383503513593,-2.1136579929525747,0
850072016,831,-1853,14060,14205.906166098663,-0.9538793242184765,0
850073920,1164,-895,14084,14160.33110488593,-0.9735322479718587,0
850075828,-2118,-818,16364,16520.760999421305,0.04433470619358691,0
850077748,-4368,-1012,18908,19432.34499487903,1.2998708863252004,0
850079648,-571,-735,19275,19297.458148678546,1.2417048447846641,0
850081544,625,2057,19427,19545.592930376915,1.3487057750196805,0
850083448,2116,2423,17166,17464.820096410956,0.45143281990146517,0
850085356,1519,1821,17960,18115.87706957629,0.7321822629576489,0
850087232,967,59,19684,19707.826516386835,1.4186643052168921,0
850089104,-94,-274,18200,18202.305128746742,0.7694518575962878,0
850090992,2480,-446,11688,11956.53210592436,-1.923856669747332,0
850092896,526,-1615,15743,15834.359791289322,-0.2516559134279751,0
850094792,582,-2448,13245,13481.893524279147,-1.2660887841190718,0
850096704,-2500,-2604,17036,17414.250256614552,0.42962604270152954,0
850098628,-2084,-1944,15228,15492.390906506329,-0.3991200800101963,0
850100548,-1237,-632,17300,17355.678984125054,0.4043688796447063,0
850102464,1053,878,16611,16667.4837333054,0.10760463113021622,0
850104352,-812,2168,19647,19782.92640131889,1.4510489531621407,0
850106260,1476,2948,17300,17611.339528837663,0.5146150769790803,0
850108172,1521,1887,18131,18292.276266227775,0.8082493020290296,0
850110072,2658,134,16719,16929.497364068433,0.2205904126236741,0
850111956,455,-965,15215,15252.359653509355,-0.5026265984448975,0
850113852,-590,-2732,17663,17882.770842349906,0.6316619611036417,0
850115752,-29,-2363,18347,18498.568025660796,0.8972066421006998,0
850117656,-769,-1527,16947,17033.02377735674,0.2652331767292283,0
850119556,1905,-507,16484,16601.45565906797,0.0791319385206825,0
850121444,-351,-226,18751,18755.646563102004,1.0080643076862719,0
850123320,-587,73,18804,18813.30151780915,1.0329263352669975,0
850125216,-2340,276,17503,17660.882905449547,0.5359792216917688,0
850127128,2842,2342,17362,17748.266732275577,0.5736609634205311,0
850129044,2822,2856,16379,16863.927804636736,0.19231544123002103,0
850130952,3231,2048,16648,17081.84910950802,0.28628768558712603,0
850132836,-951,-377,16752,16783.20690452215,0.15750689346194618,0
850134740,382,-1706,16077,16171.774454276809,-0.1061556229508303,0
850136640,-986,-2216,13547,13762.414795376573,-1.1451221193383916,0
850138548,1403,-1999,9503,9811.799987769828,-2.848710211748616,0
850140464,-4005,-2116,16182,16804.00562366009,0.16647573805609772,0
850142388,-3695,-379,18228,18602.59793684742,0.9420665250765828,0
850144276,-290,96,14791,14794.154149528116,-0.700214436914055,0
850146164,-1545,241,13187,13279.38533969099,-1.3534145672391393,0
850148068,393,1344,15328,15391.827994101286,-0.4424849202830212,0
850149964,418,2372,20628,20768.13645949005,1.875892225756446,0
850151840,81,2093,19023,19137.9659054979,1.1729284392006059,0
850153736,650,1614,13772,13881.479748211283,-1.093778810574895,0
850155628,3163,-459,16219,16530.916822729465,0.048714110539232025,0
850157528,-768,-3454,16492,16867.305771817857,0.19377209163674494,0
850159444,-1318,-3472,16856,17260.261991059117,0.3632230678870695,0
850161360,-296,-2780,14676,14939.912717281852,-0.637360280666294,0
850163272,1366,-638,15536,15608.981260799823,-0.3488438701195618,0
850165168,-268,1372,13303,13376.248240818499,-1.311645249552332,0
850167072,1574,856,15172,15277.427663058988,-0.4918167461436927,0
850168968,-1987,643,19680,19790.503227558413,1.4543162397968832,0
850170872,1154,1604,18136,18243.328314756604,0.7871419171446308,0
850172784,-1594,2122,18683,18870.564617944,1.057619386924779,0
850174708,4596,3390,12735,13956.91731723019,-1.0612485461579395,0
850176608,2284,762,16428,16603.508183513506,0.08001703017731815,0
850178516,1938,-2528,14032,14389.011501837087,-0.8749204571023669,0
850180440,-3687,-4125,17791,18631.405609883543,0.9544889988292474,0
850182372,-1739,-3059,11844,12355.643973504579,-1.7517512486265219,0
850184284,319,-1354,16068,16128.102833253513,-0.12498774331049854,0
850186176,193,605,14189,14203.20368790084,-0.9550446895861519,0
850188080,-2032,1298,18843,18996.64383516204,1.1119873938333475,0
850189980,-902,986,19699,19744.275144962907,1.434381719505757,0
850191872,1581,209,15724,15804.664438070175,-0.2644611735223404,0
850193748,-20,682,14908,14923.605060440323,-0.6443924848581198,0
850195660,2464,1521,19903,20112.537035391633,1.5931839824383236,0
850197560,-492,1610,19991,20061.760765197057,1.5712881881143799,0
850199452,1735,-331,14751,14856.37193260858,-0.6733848218911089,0
850201352,325,-3001,16026,16307.798809158763,-0.047499063772118516,0
850203268,1482,-3743,15533,16046.1977427676,-0.16030693884201963,0
850205192,-4194,-2997,21880,22479.01343475732,2.613658316500636,0
850207092,-1405,47,14323,14391.822782399733,-0.8737081738694568,0
850209004,1132,1290,15627,15720.962216098605,-0.3005553299013636,0
850210912,2790,2420,15475,15909.623659911003,-0.21920055227108776,0
850212812,668,2068,19004,19127.855708364175,1.1685687098198099,0
850214700,-279,1313,15249,15307.965606180333,-0.47864814358389557,0
850216612,-3109,1085,20351,20615.68109473951,1.8101502699694638,0
850218528,3676,1650,14671,15214.260317215556,-0.5190558325767282,0
850220436,3785,1117,17263,17708.33371607843,0.5564410079957454,0
850222344,2987,-643,14235,14559.218488641483,-0.8015236289917946,0
850224252,-593,-3489,14233,14666.39216030991,-0.7553080904577254,0
850226164,-2223,-3915,11060,11941.212417506022,-1.9304628412016243,0
850228092,-1076,-1680,13731,13875.177007879936,-1.09649668460234,0
850230004,1529,541,12191,12298.414653929993,-1.7764297333971153,0
850231888,-69,1880,16699,16804.635134390748,0.16674719630678017,0
850233792,-1532,2166,17212,17415.266980439894,0.43006447537251197,0
850235692,905,605,18179,18211.564759789315,0.7734448050114257,0
850237580,-588,-718,16552,16577.99662202885,0.06901590896439554,0
850239460,747,-653,15320,15352.094905907792,-0.4596186625529053,0
850241356,-1062,-585,18731,18770.20058496978,1.0143403076402246,0
850243240,197,-11,19075,19076.020418315766,1.1462162438889196,0
850245136,-222,-1338,15613,15671.799418063007,-0.3217553611374516,0
850247052,1552,-3328,14264,14729.086326042088,-0.7282730492283745,0
850248968,-846,-2696,18964,19173.352028270903,1.1881876786679881,0
850250876,234,-1024,13907,13946.611810758914,-1.0656924970277941,0
850252780,-3815,1245,17712,18160.924921379967,0.7516078429391843,0
850254688,812,3826,12636,13227.47579850366,-1.3757990518208665,0
850256592,2568,3152,16108,16613.169234074514,0.08418307812110049,0
850258508,1684,1658,17011,17174.368722022944,0.3261840859882356,0
850260412,-1723,217,17200,17287.446832890044,0.3749457427345519,0
850262304,254,-128,17799,17801.272454518527,0.5965181443000296,0
850264184,-298,-576,16068,16081.082177515293,-0.14526403778970637,0
850266080,3344,586,14381,14776.294968631344,-0.7079156908701126,0
850267988,3057,-1026,15320,15655.680279055267,-0.3287062724793059,0
850269896,-885,-2757,13180,13494.320064382644,-1.2607301989921658,0
850271804,-714,-2138,16234,16389.74057146726,-0.012164054580364217,0
850273720,-1619,-519,13380,13487.583994177756,-1.2636349339636925,0
850275640,1995,1383,15816,16001.2052671041,-0.17970863946866897,0
850277560,1260,2084,16908,17082.479913642517,0.2865597015807132,0
850279460,-279,2085,19935,20045.680108192886,1.564353871020825,0
850281356,-1350,664,16812,16879.180667319135,0.19889279602322193,0
850283248,509,-587,16312,16330.492766600768,-0.037712952609515835,0
850285144,331,-2535,18148,18327.184453701557,0.8233024457557867,0
850287052,2196,-1478,15052,15282.984132688223,-0.48942067971930286,0
850288964,-894,-1778,18731,18836.424315670956,1.0428973714269234,0
850290876,462,-1282,14948,15009.985742831337,-0.6071433200819799,0
850292776,1661,-995,15587,15706.798368859263,-0.30666307835945195,0
850294656,120,-936,12668,12703.098834536398,-1.6019214138463405,0
850296540,-2727,-81,13688,13957.235901137445,-1.061111166084897,0
850298440,-158,1938,14895,15021.379197663575,-0.6022302230252279,0
850300348,1625,3385,15936,16372.38363830997,-0.019648728760845377,0
850302248,740,2664,13088,13376.854637768925,-1.3113837584492176,0
850304132,517,945,19800,19829.279210299097,1.4710372580903757,0
850306036,-3169,-1515,19796,20105.20833018151,1.5900236908035357,0
850307956,-920,-2008,10868,11090.170783175523,-2.297449871068266,0
850309876,-1715,-1987,16039,16252.351060692727,-0.071409297656682,0
850311788,3252,-118,16384,16704.03795493772,0.12336757936304436,0
850313676,1805,31,17659,17751.035659927,0.5748549831884492,0
850315560,429,367,16107,16116.891108399286,-0.12982247458327784,0
850317448,495,-873,14827,14860.924702050004,-0.6714215720716209,0
850319332,1784,108,16019,16118.395732826515,-0.12917364892382824,0
850321240,-1304,1060,16283,16369.487010899273,-0.02089781534744727,0
850323148,-483,1047,16280,16320.781170029823,-0.041900797054562386,0
850325060,-1162,1016,20707,20764.449161969118,1.8743021856093427,0
850326964,1438,130,16984,17045.263271654094,0.2705111037754058,0
850328860,476,-2060,18292,18413.783967452207,0.860645975211015,0
850330776,-1264,-3292,17299,17654.754628711213,0.5333365800304458,0
850332660,-7,-3239,19379,19647.81949733863,1.3927880180843883,0
850334568,1109,-1649,14904,15035.900305601923,-0.5959684162490417,0
850336476,2492,210,15551,15750.802043070697,-0.28768776968988574,0
850338364,2961,743,13238,13585.441251575157,-1.2214368289656692,0
850340272,3515,1241,13527,14031.216447621353,-1.0292092003915279,0
850342176,-3294,-206,15876,16215.432402498553,-0.08732939859040446,0
850344064,22,797,15061,15082.089178890305,-0.5760508038347857,0
850345956,-1413,1417,17167,17283.23890363146,0.37313119524568367,0
850347868,912,1760,14104,14242.61773691901,-0.9380485237104651,0
850349760,-1206,630,18148,18198.93513368296,0.7679986449340243,0
850351672,1277,-1538,16463,16583.924203878887,0.07157200677404883,0
850353596,-2643,-2688,17684,18081.334270456922,0.7172866823647327,0
850355524,1884,-2254,13168,13491.70841665354,-1.2618563963537268,0
850357428,73,-1117,17576,17611.609636827634,0.5147315532182957,0
850359332,2334,2340,14996,15355.883953716244,-0.45798474554443797,0
850361228,413,1931,19627,19726.085749585498,1.4265380701291004,0
850363108,-614,782,14255,14289.630681021816,-0.9177755546504404,0
850365004,1456,480,13652,13737.81059703474,-1.1557319665038859,0
850366888,367,259,13699,13706.362427719472,-1.1692930777188886,0
850368772,-865,287,19783,19803.981493629002,1.4601283512535561,0
850370680,-1345,1000,17661,17740.34796727505,0.5702462256092122,0
850372580,845,-1254,15723,15795.545891168182,-0.26839328249241984,0
850374496,1653,-2503,15927,16206.996853211269,-0.09096698464184282,0
850376416,-1369,-2519,15036,15306.887926681897,-0.47911286162156275,0
850378344,-3501,-2641,18675,19183.0004691654,1.1923482890586894,0
850380232,17,346,15443,15446.884928683841,-0.41874321355452604,0
